datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Kim, Seonghyeon",Seonghyeon Kim,150,32905159,6400,26.513,11:45 AM,0,47,2.3,0,49.3,0.37,100,2.632820666,
"Kuchar, Matt",Matt Kuchar,150,32905165,6300,25.015,12:18 PM,0,43.4,1.7,0,45.2,0,100,1.950896821,
"Tosti, Alejandro",Alejandro Tosti,150,32905184,6300,25.248,1:46 PM,0,44.6,1.8,0,46.4,0.12,100,0.815173302,
"Lee, Kyounghoon",Kyoung-Hoon Lee,150,32905163,6300,25.584,7:18 AM,1,44.9,1.9,0,46.8,0.16,100,1.712126289,
"Stevens, Samuel",Sam Stevens,150,32905166,6300,26.024,7:07 AM,1,45.8,2,0,47.8,0.26,100,1.576225703,
"Smalley, Alex",Alex Smalley,150,32905168,6200,26.318,7:07 AM,1,46.3,2.1,0,48.4,0.36,100,1.80342847,
"Hardy, Nick",Nick Hardy,150,32905164,6200,25.091,7:29 AM,1,43.6,1.7,0,45.3,0.05,100,0.843284911,
"Norrman, Vincent",Vincent Norrman,150,32905170,6200,26.389,12:51 PM,0,46.5,2.2,0,48.7,0.38,100,1.938081749,
"Pan, C.T.",C.T. Pan,150,32905167,6200,25.244,7:07 AM,1,43.5,1.7,0,45.2,0.03,100,5.384788173,
"Kim, Chan",Chan Kim,150,32905171,6200,26.356,8:35 AM,1,46.9,2.3,0,49.2,0.43,100,4.005676728,
"Sigg, Greyson",Greyson Sigg,150,32905173,6100,26.373,11:45 AM,0,47.3,2.4,0,49.6,0.51,100,4.136814611,
"Wu, Dylan",Dylan Wu,150,32905176,6100,25.881,6:45 AM,1,45.1,2,0,47.1,0.26,100,5.647143786,
"Duncan, Tyler",Tyler Duncan,150,32905174,6100,26.333,6:56 AM,1,45.9,2.1,0,48,0.35,100,3.492865005,
"Champ, Cameron",Cameron Champ,150,32905172,6100,25.563,12:51 PM,0,44,1.8,0,45.8,0.14,100,1.200066337,
"Baddeley, Aaron",Aaron Baddeley,150,32905169,6100,24.304,1:02 PM,0,41.4,1.4,0,42.8,-0.07,100,1.519249316,
"Gotterup, Chris",Chris Gotterup,150,32905180,6000,25.351,1:24 PM,0,44.6,1.8,0,46.4,0.23,100,1.013560085,
"Silverman, Ben",Ben Silverman,150,32905179,6000,25.221,1:46 PM,0,43.6,1.8,0,45.4,0.13,100,3.469634431,
"Dunlap, Nick",Nick Dunlap,150,32905181,6000,24.721,7:51 AM,1,42.2,1.5,0,43.7,-0.02,100,1.81914815,
"Shelton, Robby",Robby Shelton,150,32905178,6000,25.234,11:56 AM,0,43.6,1.7,0,45.3,0.12,100,2.041521571,
"Stallings, Scott",Scott Stallings,150,32905185,5900,25.424,12:51 PM,0,43.9,1.7,0,45.7,0.19,100,0.975022852,
"Novak, Andrew",Andrew Novak,150,32905177,5900,25.609,6:45 AM,1,44.4,1.9,0,46.3,0.25,100,6.241450074,
"Bramlett, Joseph",Joseph Bramlett,150,32905182,5900,25.525,1:13 PM,0,44.8,2,0,46.7,0.3,100,1.609933589,
"Phillips, Chandler",Chandler Phillips,150,32905183,5900,25.388,8:35 AM,1,43.7,1.7,0,45.4,0.16,100,1.435838445,
"Ryder, Sam",Sam Ryder,150,32905186,5900,25.325,8:02 AM,1,44.6,1.9,0,46.5,0.28,100,6.110606244,
"Yuan, Carl",Carl Yuan,150,32905187,5800,24.92,1:02 PM,0,42.5,1.5,0,44,0.06,100,1.512390013,
"Blair, Zac",Zac Blair,150,32905190,5800,23.632,12:07 PM,0,39.3,1.2,0,40.5,-0.13,100,1.012069307,
"Martin, Ben",Ben Martin,150,32905191,5800,24.243,6:45 AM,1,40.5,1.3,0,41.9,-0.07,100,1.830535838,
