"ID","Player","Team","Position","RkOv","Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*03o4d*","Rizal Amin","null","null","422","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04134*","Do-Eun An","null","null","423","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03eev*","Brian Anania","null","null","424","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04doo*","Mason Andersen","null","null","426","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01or8*","Billy Anderson","null","null","427","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*033r6*","J.C. Anderson","null","null","428","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ord*","Josh Anderson","null","null","429","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01orf*","Mark Anderson","null","null","430","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*050y9*","Matthew Anderson","null","null","431","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*050yd*","Matthew Anderson","null","null","432","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
